campaign_id,property_name,email,city,country,source_url,package,price_eur,status,last_contact,thread_sender,message_id,thread_id,next_follow_up,notes
LSG-20260909-BNB80,Molenda Bed and Breakfast,info@molenda.it,Città di Castello,Italy,https://www.molenda.it/contatti/,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a086971086ee0a9,1a086971086ee0a9,2026-09-14,First personalised commercial email sent and Gmail SENT confirmed; no Gmail history for domain; no CRM match for domain; 479 EUR one-off quoted; no guaranteed bookings; opt-out included; not paid
LSG-20260909-BNB80,La Luna dei Medici,info@lalunadeimedici.com,Fivizzano,Italy,https://www.lalunadeimedici.com/contact,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a08698eef902e47,1a08698eef902e47,2026-09-14,Personalised email sent; Gmail SENT confirmed; Gmail and CRM deduplicated; public contact verified; 479 EUR quoted; opt-out included; not paid
LSG-20260909-BNB80,I Sette Borghi,info@isetteborghi.it,Massa e Cozzile,Italy,https://www.isetteborghi.it/contatti,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a0869a491876b72,1a0869a491876b72,2026-09-14,Personalised email sent; Gmail SENT confirmed; Gmail and CRM deduplicated; public contact verified; 479 EUR quoted; opt-out included; not paid
LSG-20260909-BNB80,Il Piccolo Cavour,info@ilpiccolocavourarezzo.it,Arezzo,Italy,https://www.ilpiccolocavourarezzo.it/contatti/,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a0869f1e641e0c4,1a0869f1e641e0c4,2026-09-14,Personalised email sent; Gmail SENT confirmed; Gmail and CRM deduplicated; public contact verified; 479 EUR quoted; opt-out included; not paid
LSG-20260909-BNB80,B&B Alex,info@alexvacanze.it,Galatina,Italy,https://www.alexvacanze.it/contatti/,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a086a074ab65327,1a086a074ab65327,2026-09-14,Personalised email sent; Gmail SENT confirmed; Gmail and CRM deduplicated; public business contact verified; 479 EUR quoted; opt-out included; not paid
LSG-20260909-BNB80,Masseria Uccio,info@masseriauccio.com,Tricase,Italy,https://www.masseriauccio.com/en/reservas-y-contactos-de-la-masseria-uccio-puglia.html,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a086a1e61a76460,1a086a1e61a76460,2026-09-14,Personalised email sent; Gmail SENT confirmed; Gmail and CRM deduplicated; public business contact verified; 479 EUR quoted; opt-out included; not paid
LSG-20260909-BNB80,Borgo di Oliveto,info@borgodioliveto.com,Oliveto,Italy,https://borgodioliveto.com/,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a086a32a362496f,1a086a32a362496f,2026-09-14,Personalised email sent; Gmail SENT confirmed; Gmail and CRM deduplicated; public business contact verified; 479 EUR quoted; opt-out included; not paid
LSG-20260909-BNB80,A casa di Silvia,info@acasadisilvia.it,Sannicola,Italy,https://www.acasadisilvia.it/,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a086a4d06ee1149,1a086a4d06ee1149,2026-09-14,Personalised email sent; Gmail SENT confirmed; Gmail and CRM deduplicated; offer references existing small-group Salento tours for October 2026 on official website; city corrected to Sannicola before send; 479 EUR one-off quoted; exclusions and opt-out included; not paid
LSG-20260909-BNB80,Bio B&B Della Mandorla,info@dellamandorla.it,Perugia,Italy,https://www.dellamandorla.it/,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a086a6918282498,1a086a6918282498,2026-09-14,Personalised email sent; Gmail SENT confirmed; Gmail and CRM deduplicated; public business contact verified; 479 EUR quoted; opt-out included; not paid
LSG-20260909-BNB80,B&B Le Corone,info@lecorone.com,Cavalo di Fumane,Italy,https://www.lecorone.com/,Low-Season Booking Sprint,479,contacted,2026-09-09,digital.vincenzoproto@gmail.com,1a086a6a1568b3f9,1a086a6a1568b3f9,2026-09-14,Personalised email sent; Gmail SENT confirmed; no Gmail history or repository search match before outreach; official website verified 2026-09-09; hook hospitality nature and equestrian activities in Valpolicella; 479 EUR one-off quoted; website and Instagram links included; campaign management and ad spend excluded; no booking guarantee; opt-out included; not paid
